,GRID_ID,P_CNT,MONTH,DAY,WEEKDAY,HOLIDAYS,COOL_DAY,HEAT_DAY,REL_HMDT,AVG_TEMP,MAX_TEMP,MIN_TEMP,DIFF_TEMP,scaled_AVG_TEMP,scaled_MAX_TEMP,scaled_MIN_TEMP,M_LOW,M_MID,M_HIGH,F_LOW,F_MID,F_HIGH,PRECIP,HGTPOJ_ACDNT_OCRN_CNT,PNTRINJ_OCRN_CNT,MCHN_ACDNT_OCRN_CNT,ETC_OCRN_CNT,BLTRM_OCRN_CNT,ACDNT_INJ_OCRN_CNT,EXCL_DISEASE_OCRN_CNT,VHC_ACDNT_OCRN_CNT,HRFAF_OCRN_CNT,DRKNSTAT_OCRN_CNT,ANML_INSCT_ACDNT_OCRN_CNT,FLPS_ACDNT_OCRN_CNT,UNKNWN_OCRN_CNT,PDST_ACDNT_OCRN_CNT,LACRTWND_OCRN_CNT,MTRCYC_ACDNT_OCRN_CNT,THML_DAMG_OCRN_CNT,DRV_ACDNT_OCRN_CNT,DRWNG_OCRN_CNT,PRGNTW_ACDNT_OCRN_CNT,BCYC_ACDNT_OCRN_CNT,ELTRC_ACDNT_OCRN_CNT,POSNG_OCRN_CNT,ASPHYXIA_OCRN_CNT,FALLING_OCRN_CNT,FLAME_OCRN_CNT,BURN_OCRN_CNT
0,378509,5.220000000000001,1,31,6,0,0.0,20.8,63.1,-6.1,-0.3,-12.0,11.7,24.1,18.3,30.0,0.01966666666666667,0.20400000000000001,0.10266666666666667,0.013666666666666667,0.08333333333333333,0.07666666666666666,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,378511,6.759999999999999,1,31,6,0,0.0,20.8,63.1,-6.1,-0.3,-12.0,11.7,24.1,18.3,30.0,0.3393333333333333,2.545666666666667,5.732,0.22866666666666668,1.5643333333333334,3.3863333333333334,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,378512,0.0,1,31,6,0,0.0,20.8,63.1,-6.1,-0.3,-12.0,11.7,24.1,18.3,30.0,0.08366666666666665,0.5489999999999999,1.2983333333333331,0.060000000000000005,0.35200000000000004,0.748,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,378513,179.81,1,31,6,0,0.0,20.8,63.1,-6.1,-0.3,-12.0,11.7,24.1,18.3,30.0,0.5263333333333333,36.87833333333333,22.538666666666664,1.7043333333333335,11.583,25.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,378514,4.2700000000000005,1,31,6,0,0.0,20.8,63.1,-6.1,-0.3,-12.0,11.7,24.1,18.3,30.0,0.0,0.32433333333333336,0.254,0.007,0.34400000000000003,0.2343333333333333,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,378520,0.0,1,31,6,0,0.0,20.8,63.1,-6.1,-0.3,-12.0,11.7,24.1,18.3,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,378521,0.0,1,31,6,0,0.0,20.8,63.1,-6.1,-0.3,-12.0,11.7,24.1,18.3,30.0,0.36000000000000004,11.879999999999999,26.351999999999997,0.0,24.743999999999996,19.08,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,379506,0.0,1,31,6,0,0.0,20.8,63.1,-6.1,-0.3,-12.0,11.7,24.1,18.3,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,379507,0.0,1,31,6,0,0.0,20.8,63.1,-6.1,-0.3,-12.0,11.7,24.1,18.3,30.0,0.0,0.3336666666666667,0.10066666666666667,0.021666666666666667,0.05666666666666667,0.11966666666666666,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,379511,0.0,1,31,6,0,0.0,20.8,63.1,-6.1,-0.3,-12.0,11.7,24.1,18.3,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
